S05c_025,S05c_026,S05c_027,S05c_028,S05c_029,S05c_030,S05c_031,S05c_032,S05c_033,S05c_034,S05c_035,S05c_036,S05c_037,S05c_038,S05c_039,S05c_040,S05c_041,S05c_042,S05c_043,S05c_044,S05c_045,S05c_046,S05c_047,S05c_048,S05c_049,S05c_050,S05c_051,S05c_052,S05c_053,S05c_054,S05c_055,S05c_056,S05c_057,longitude,latitude
2008,3034,能見台,1697,498,0,36,29,102,92,422,338,11403,0,0,0,0,14617,2090,363,0,0,231,315,92,418,340,11558,0,0,0,0,15407,139.62947,35.36119
2008,3035,金沢文庫,9812,1372,33,0,153,41,135,1103,3693,20645,0,0,31,32,37050,9319,431,33,0,120,415,135,1096,3619,20583,0,0,0,59,35810,139.62189,35.34372
2008,3046,馬堀海岸,561,386,0,0,0,0,0,151,125,4733,0,0,0,0,5956,807,117,0,0,23,483,0,151,125,4568,0,0,0,0,6274,139.70699,35.25958
2008,3023,神奈川,0,0,0,0,0,0,0,0,0,3162,0,0,0,0,3162,0,0,0,0,0,0,0,0,0,3425,0,0,0,0,3425,139.62719,35.47099
2008,3047,浦賀,2807,679,0,0,0,31,209,441,425,9785,0,0,0,0,14377,3356,477,0,0,0,137,300,441,301,9223,0,0,0,0,14235,139.71502,35.25112
2008,3026,黄金町,408,38,42,0,49,60,0,0,410,9326,0,0,0,0,10333,524,0,42,0,49,52,0,0,356,9360,0,0,0,0,10383,139.62315,35.4399
2008,3024,戸部,172,49,0,0,0,55,32,0,106,7543,0,0,0,0,7957,46,49,0,0,0,27,32,0,106,7400,0,0,0,0,7660,139.61976,35.45619
2008,3028,井土ヶ谷,1024,0,0,0,0,25,46,101,591,10417,0,0,0,0,12204,860,260,0,43,0,76,0,101,464,10659,0,0,0,0,12463,139.60118,35.43402
2008,3022,仲木戸,197,38,0,0,0,0,0,45,143,4219,0,0,0,0,4642,268,38,0,0,42,36,0,45,236,4058,0,0,0,0,4723,139.63444,35.47718
2008,3031,屏風浦,547,102,0,0,22,0,34,32,205,7884,0,0,0,37,8863,875,91,0,0,22,25,34,53,205,7134,0,0,0,0,8439,139.60997,35.39458
2008,3015,鶴見市場,0,0,0,0,0,0,0,49,274,7931,0,0,0,0,8254,27,49,0,0,0,0,0,63,274,8330,0,0,0,0,8743,139.68677,35.51801
2008,3033,京急富岡,704,410,0,0,0,81,0,155,964,9799,0,0,0,0,12113,693,328,0,0,0,192,0,155,965,10008,0,0,0,0,12341,139.62983,35.36619
2008,3020,子安,33,0,0,0,0,0,0,0,0,3157,0,0,0,29,3219,0,0,0,0,0,0,0,0,0,3070,0,0,0,29,3099,139.64435,35.48433
2008,3043,県立大学,0,0,0,95,0,0,0,0,0,5281,0,0,0,0,5376,0,0,0,0,0,210,0,0,0,5181,0,0,0,0,5391,139.67611,35.27041
2008,3038,京急田浦,131,0,0,0,0,0,0,0,149,5390,0,0,0,0,5670,0,0,0,0,0,0,0,0,149,5303,0,0,0,0,5452,139.62482,35.30146
2008,3021,神奈川新町,0,74,0,0,0,0,0,0,0,8989,0,0,30,0,9093,0,37,0,0,0,0,0,27,0,9391,0,0,30,0,9485,139.63956,35.48104
2008,3045,京急大津,0,0,0,0,0,0,0,0,85,4003,0,0,0,0,4088,0,0,0,0,0,0,0,0,85,3867,0,0,0,0,3952,139.6946,35.26133
2008,3013,六郷土手,0,0,0,0,0,0,0,0,917,7512,0,0,0,0,8429,0,0,0,0,0,0,0,0,848,7630,0,0,0,0,8478,139.70781,35.54081
2008,3025,日ノ出町,140,0,0,0,0,95,0,0,86,9414,0,0,0,0,9735,214,0,0,0,0,28,0,0,86,9248,0,0,0,0,9576,139.62652,35.44591
2008,3008,平和島,1411,217,0,24,354,66,0,0,1788,13931,0,0,0,0,17791,1422,251,0,0,353,211,0,0,1732,14346,0,0,36,0,18351,139.73519,35.5795
2008,5808,七里ヶ浜,79,100,0,0,0,0,0,0,0,2983,0,0,0,0,3162,36,100,0,0,0,0,0,0,0,2778,0,0,0,0,2914,139.51024,35.30637
